,NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),avg_rain,RICE YIELD (Kg per ha)
4017,31.62,11.9,11.26,83.95833333,1905.99
4018,49.03,16.64,15.52,72.05833333,1859.85
4019,24.45,8.7,8.31,70.43333333,1729.22
4020,29.16,8.24,5.96,85.075,2116.04
4021,33.5,9.07,8.37,96.325,2072.88
4022,51.87,14.27,12.99,101.8,2335.02
4023,58.96,17.23,16.8,81.4,2179.44
4024,57.52,17.58,17.06,79.56666667,2181.2
4025,61.29,19.67,23.11,43.41666667,1843.89
4026,56.16,14.58,20.7,86.35,2358.38
4027,42.56,14.79,15.88,52.65,1848.1
4028,50.59,23.21,21.66,90.09166667,2257.62
4029,74.28,25.89,29.17,84.125,2051.18
4030,73.46,34.99,32.79,87.49166667,2434.73
4031,66.72,35.26,34.51,60.49166667,2700.68
4032,58.42,32.31,33.71,70.98333333,2871.79
4033,79.33,31.76,35.77,80.75,2972.18
4034,80.73,34.86,40.14,62,3267.65
4035,80.25,34.96,40.61,74.59166667,3019.57
4036,77.56,35.1,35.21,94.98333333,3101.89
4037,82.23,28.8,30.95,67.36666667,2274.59
4038,78.64,31.71,32.69,95.74166667,2630.95
4039,97.51,35.59,40.82,72.31666667,3050.31
4040,88.93,31.05,32.99,100.1083333,2663.52
4041,106.05,34.88,29.12,128.8583333,2761.82
4042,108.26,44.14,44.13,84.525,3005.14
4043,98.12,37.88,33.82,83.40833333,3493.02
4044,124.41,50.99,48.87,46.325,3532.46
4045,121.86,42.85,36.58,62.21666667,3420.79
4046,111.92,45.76,47.91,60.31666667,3310.12
4047,113.02,38.86,36.7,48.675,2926.31
4048,93.73,37.79,30.92,74.19166667,3017.02
4049,112.83,47.08,39.72,75.35833333,2876.76
4050,118.86,52.66,39.66,375.6666667,2792.33
4051,141.83,64.09,44.63,73.71666667,3233.69
4052,140.57,56.61,63.79,95.49166667,3414.37
4053,172.99,53.1,78.35,71.49166667,3280.49
4054,171.54,68.27,78.26,91.4,3179.1
4055,185.51,73.19,68.68,79.425,3026.02
4056,210.23,91.15,59.09,11.45,4451.58
4057,213.74,73.89,45.04,67.49166667,3752.04
4058,195.09,59.54,43.14,66.05,4523.77
4059,172.65,58.22,40.63,57.14166667,4887.52
4060,220.73,73.45,40.76,113.2666667,3949.44
4061,8.09,3.18,3.23,108.1833333,1659.42
4062,9.16,3.08,3.08,74.99166667,1593.98
4063,11.25,3.17,3.19,64.05,1497.28
4064,10.2,2.49,3.27,75.2,1753.41
4065,11.33,5.03,5.33,82.88333333,2154.16
4066,20.01,5.73,4.74,82.275,2028.26
4067,20.39,7.45,6.26,106.6583333,2073.12
4068,22.44,7.96,7.1,54.59166667,2099.69
4069,16.24,5.86,4.96,57.65833333,1635.59
4070,13.79,1.96,1.72,81.78333333,2115.35
4071,11.22,2.47,2.7,56.025,1975
4072,16.18,4.75,4.75,95.125,2092.28
4073,22.42,5.79,7.52,86.9,1963.97
4074,22.66,7.24,9.87,86.68333333,2107.69
